BLDG_ID,ADD_ID,NEIGHBOURHOOD,NOTES,REC_IDS,BLDG_USE,GBA,HAS_SUBBLDGS,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
GRWC,AD-22,East Campus,There are plans to split this feature at some point (peter). new GBA taken from spreadsheet,554-1-7;554-2;554-3;554-4;554-5;554-6;554-7,HSGN,5942,0,,REAP Bronze,Greenwood Commons ,Greenwood Commons ,,,,2660 Wesbrook Mall,Vancouver,BC,V6T 0A5
CHHS,AD-79,Chancellor,new GBA taken from spreadsheet,830;835;834;833;830-1;830-2;830-3;830-4,HSGN,7835,1,,,Chancellor House,Chancellor House,,,,6015 Iona Drive,Vancouver,BC,V6T 2J4
TAMK,AD-44,Hawthorn,new GBA taken from spreadsheet,629,HSGN,10711,0,,,Tamarack House,Tamarack House,Faculty Staff Housing Building E,,,6230 Thunderbird Boulevard,Vancouver,BC,V6T 0C3
PONC,AD-294,Academic,,865-3,ACA,587,0,,,Ponderosa Annex C,C,Ponderosa Annexes,C,,2021 West Mall,Vancouver,BC,V6T 1Z2
PONA,AD-292,Academic,,865-1,ACA,633,0,,,Ponderosa Annex A,A,Ponderosa Annexes,A,,2011 West Mall,Vancouver,BC,V6T 1Z2
PONE,AD-298,Academic,,871-2,ACA,1004,0,,,Ponderosa Annex E,E,Ponderosa Annexes,E,,2034 Lower Mall,Vancouver,BC,V6T 1Z2
PONF,AD-299,Academic,,871-3,ACA,826,0,,,Ponderosa Annex F,F,Ponderosa Annexes,F,,2008 Lower Mall,Vancouver,BC,V6T 1Z2
CEML,AD-156,Academic,,305;307;309;511,ACA,8773,1,,,Civil and Mechanical Engineering Labs,CEME Labs,,,CEME Labs,6250 Applied Science Lane,Vancouver,BC,V6T 1Z4
CHPH,AD-125,Academic,,447,ACA,7631,,Section,,Chemistry Physics Building,Chemistry,Chemistry A Block,,<Null>,2036 Main Mall,Vancouver,BC,V6T 1Z1
FPIN,AD-169,Academic,,372,RSCH,9527,0,,,FPInnovations,FP Innovations,Forintek,,,2665 East Mall,Vancouver,BC,V6T 1Z4
FAIR,AD-817,Academic,,007-35;007-34;007-33;007-32;007-31;007-30;007-29;007-28;007-27;007-26;007-25;007-24;007-23;007-22;007-21;007-20;007-19;007-18;007-17;007-16;007-15;007-14;007-13;007-12;007-11;007-10;007-07;007-06;007-05;007-04;007-09;007-08;007-03;007-02;007-01,RES,20070,0,,,Fairview Crescent Residence,Fairview Crescent Residence,,,,2600 Fairview Crescent,Vancouver,BC,V6T 2B9
GAGE,AD-297,Academic,,869-2;872-2;872-1;869-3;869-1;874,RES,46115,1,,,Walter H. Gage Residence ,Gage Residence,Walter H. Gage Residence Commonsblock,,Gage,5959 Student Union Boulevard,Vancouver,BC,V6T 1K2
TRMF,AD-283,Academic,GBA from OSIS,847;853;854;847-1;850;843;842;845;854-1;854-2;843-5;843-1;850-1;850-3;842-1;842-7,RSCH,60157,1,,,TRIUMF - Canada’s particle accelerator centre,TRIUMF,,,TRIUMF,4004 Wesbrook Mall,Vancouver,BC,V6T 2A3
KAIS,AD-160,Academic,,313,ACA,11798,0,,,Fred Kaiser Building,Fred Kaiser,Faculty of Applied Science,<Null>,,2332 Main Mall,Vancouver,BC,V6T 1Z4
MARN,AD-172,Academic,,377-1;377-3;377-6;377-5;377-4;377-2,RES,59324,1,,,Marine Drive Residence ,Marine Drive Residence ,Marine Drive Commonsblock,Building 3,MDR3,2205 Lower Mall,Vancouver,BC,V6T 1Z4
BIOL,AD-111,Academic,,066;065;068;069;069-1;069-2,ACA,19421,1,,,Biological Sciences Building,BioSciences,BioSciences West wing,<Null>,,6270 University Boulevard,Vancouver,BC,V6T 1Z4
THEA,AD-179,Academic,,409;408,ADMIN,4141,0,,,Thea Koerner House,Thea Koerner House,Graduate Student Centre,GSS,,6371 Crescent Road,Vancouver,BC,V6T 1Z2
FRAT,AD-89,Academic,,928;927;926;921;922;925;924,RES,6503,1,,,Fraternity Village ,Fraternity Village ,,,,2880 Wesbrook Mall,Vancouver,BC,V6T 2J3
SOPR,AD-6,Academic,,451,RES,6587,0,,,Sopron House,Sopron House,,,,2730 Acadia Road,Vancouver,BC,V6T 1R9
PGRA,AD-69,Academic,,771,RES,7184,0,,,Point Grey Apartments ,Point Grey Apartments ,Osoyoos Housing,,,2875 Osoyoos Crescent,Vancouver,BC,V6T 2G3
OABG,AD-93,Academic,,017,ADMIN,2266,0,,,Old Administration Building,Old Admin,,,,6328 Memorial Road,Vancouver,BC,V6T 1Z2
BART,AD-226,Academic,,568,ACA,1504,0,,,Morris and Helen Belkin Art Gallery,Belkin Art Gallery,,<Null>,,1825 Main Mall,Vancouver,BC,V6T 1Z2
DSOM,AD-163,Academic,RENEW,320,ACA,1823,0,,,Dorothy Somerset Studios,Somerset Studios,Hut M-18,<Null>,,6361 University Boulevard,Vancouver,BC,V6T 1Z2
CGPC,AD-181,Academic,,421,ADMIN,243,0,,,Cecil Green Park Coach House,Coach House,,,,6323 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
CGPH,AD-180,Academic,,420,ADMIN,2080,0,,,Cecil Green Park House,Cecil Green Park,,,,6251 Cecil Green Park Road,Vancouver,BC,V6T 1Z1
GREN,AD-193,Academic,,456,ACA,1753,0,,,Horticulture Building,Horticulture,Greenhouse,,,6394 Stores Road,Vancouver,BC,V6T 1Z4
STJN,AD-244,Academic,,635,MEDI,1302,0,,REAP Silver,St. John Hospice,Hospice,,,,6389 Stadium Road,Vancouver,BC,V6T 1Z4
BONR,AD-262,Academic,,768,ADMIN,1316,0,,,Building Operations Nursery,Building Ops Nursery,Plant Operations Greenhouses,<Null>,,6029 Nurseries Road,Vancouver,BC,V6T 1W5
PAPC,AD-257,Academic,,747,ACA,3317,0,,,Pulp and Paper Centre,Pulp and Paper,,,,2385 East Mall,Vancouver,BC,V6T 1Z4
SOJ,AD-148,Academic,,212,ACA,1358,0,,,Sing Tao Building,Sing Tao,School of Journalism,,,6388 Crescent Road,Vancouver,BC,V6T 1Z2
RITS,AD-68,Academic,,745,RES,6763,0,,,Ritsumeikan-UBC House,Ritsumeikan,,<Null>,Rits House,6460 Agronomy Road,Vancouver,BC,V6T 1Z4
CSTB,AD-129,Academic,,160,ADMIN,3813,0,,,Continuing Studies Building,Continuing Studies,English Language Institute,,ELI,2121 West Mall,Vancouver,BC,V6T 1Z4
STAD,AD-269,Academic,,785,REC,3156,0,,,Thunderbird Stadium,Thunderbird Stadium,David Sidoo Field,,,6288 Stadium Road,Vancouver,BC,V6T 1Z4
PUDP,AD-196,Academic,,462,MEDI,16266,0,,,Purdy Pavilion,Purdy,,Purdy Pavilion,,2221 Wesbrook Mall,Vancouver,BC,V6T 1Z9
SRC,AD-268,Academic,,774,REC,4963,0,,,Student Recreation Centre (SRC),SRC,,<Null>,REC,6000 Student Union Boulevard,Vancouver,BC,V6T 1Z1
SORO,AD-88,Academic,,918,RES,3058,0,,,Panhellenic House,Panhellenic House,Sorority House,<Null>,,2770 Wesbrook Mall,Vancouver,BC,V6T 2B7
PART,AD-224,Academic,GBA from OSIS,551,PARK,59350,0,,,Thunderbird Parkade,Thunderbird Parkade,,,,6085 Thunderbird Boulevard,Vancouver,BC,V6T 1Z3
IBLC,AD-210,Academic,,516,ADMIN,23407,0,,,Irving K. Barber Learning Centre,IK Barber,Ike Barber,<Null>,,1961 East Mall,Vancouver,BC,V6T 1Z1
SOWK,AD-258,Academic,,750,ACA,2712,0,,,Jack Bell Building for the School of Social Work,Jack Bell,,,,2080 West Mall,Vancouver,BC,V6T 1Z2
MATH,AD-211,Academic,,518,ACA,4520,0,,,Mathematics Building,Math,,,,1984 Mathematics Road,Vancouver,BC,V6T 1Z2
INTL,AD-200,Academic,,472,ADMIN,1142,0,,,International House,International House,I- House,,I House,1783 West Mall,Vancouver,BC,V6T 1Z2
BINN,AD-164,Academic,,324,ACA,1501,0,,,B.C. Binning Studios,Binning Studios,Hut M-17,<Null>,,6373 University Boulevard,Vancouver,BC,V6T 1Z2
STOR,AD-253,Academic,,669,ACA,383,0,,,Stores Road Annex,Stores Annex,,,,6368 Stores Road,Vancouver,BC,V6T 1Z4
MUSC,AD-229,Academic,,575,ACA,6593,0,,,Music Building,Music,Roy Barnett Recital Hall,,,6361 Memorial Road,Vancouver,BC,V6T 1Z2
EDC,AD-153,Academic,,301,ACA,2009,0,,,Wayne and William White Engineering Design Centre,EDC,,<Null>,EDC,2345 East Mall,Vancouver,BC,V6T 1Z4
WLIB,AD-220,Academic,,536,ADMIN,7695,0,,,Woodward Library,Woodward Library,,,,2198 Health Sciences Mall,Vancouver,BC,V6T 1Z3
MAGN,AD-34,Wesbrook,new GBA taken from spreadsheet,713-1,HSGN,7617,0,,,Magnolia House,Magnolia House,,,,3565 Wesbrook Mall,Vancouver,BC,V6S 0H1
PATH,AD-29,Wesbrook,new GBA taken from spreadsheet,588-1;588-2,HSGN,11663,0,,,Pathways,Pathways,Pathways II East,,,5779 Birney Avenue,Vancouver,BC,V6S 0A3
CIRS,AD-243,Academic,,633,ADMIN,5434,0,,LEED Platinum,Centre for Interactive Research on Sustainability (CIRS),CIRS,,,CIRS,2260 West Mall,Vancouver,BC,V6T 1Z4
ALRD,AD-203,Academic,,482,ACA,13799,0,,,Allard Hall,Allard Hall,Peter A. Allard School of Law ,<Null>,LAW,1822 East Mall,Vancouver,BC,V6T 1Z1
LPRC,AD-263,Academic,,769,ADMIN,2146,0,,LEED Gold,Library Preservation Archives,Library PARC,,,,6049 Nurseries Road,Vancouver,BC,V6T 1W5
DNRG,AD-213,Academic,,521,ADMIN,2000,0,,NONE,Campus Energy Centre (CEC),Energy Centre,,,,6130 Agronomy Road,Vancouver,BC,V6T 1Z3
SPPH,AD-208,Academic,,513,MEDI,8280,0,,,School of Population & Public Health,SPPH,,,SPPH,2206 East Mall,Vancouver,BC,V6T 1Z3
MTIN,AD-239,Academic,,612,RSCH,7433,0,,,MT Innovations,MT Innovations,,,,3800 Wesbrook Mall,Vancouver,BC,V6T 1W5
BEBC,AD-161,Academic,,314,ACA,12061,1,,,Beaty Biodiversity Centre,Beaty,Beaty Biodiversity Museum,<Null>,,2212 Main Mall,Vancouver,BC,V6T 1Z4
UHIL,AD-31,Wesbrook,,590;590-1,ADMIN,11637,0,,,University Hill Secondary School,U-Hill Secondary,High school,,,3228 Ross Drive,Vancouver,BC,V6S 0C6
SOMH,AD-282,Chancellor,,838,OTHER,8377,0,,,Vancouver School of Theology (VST),VST,Somerville House,,,6015 Walter Gage Road,Vancouver,BC,V6T 1Z1
STMK,AD-78,Chancellor,new GBA taken from spreadsheet,828;829,OTHER,1487,1,,,St. Mark's College,St Mark's College,,,,5935 Iona Drive,Vancouver,BC,V6T 1J7
CARY,AD-72,Chancellor,new GBA taken from spreadsheet,807;806;804,HSGN,4126,1,,,Carey Centre,Carey Centre,,,,5920 Iona Drive,Vancouver,BC,V6T 1J6
TAPS,AD-235,Wesbrook,new GBA taken from spreadsheet,593-1;593-2,HSGN,25646,1,,,Tapestry at Wesbrook Village,Tapestry,Tapestry North,,,3338 Wesbrook Mall,Vancouver,BC,V6S 0A6
CHPL,AD-71,Chancellor,,802,OTHER,711,0,,,Chapel of the Epiphany,Chapel of the Epiphany,,,,6030 Chancellor Boulevard,Vancouver,BC,V6T 1X3
SAIL,AD-59,Wesbrook,new GBA taken from spreadsheet,707;705,HSGN,14490,0,,,Sail,Sail,Sail 1,,,5983 Gray Avenue,Vancouver,BC,V6S 0G8
LAUR,AD-232,Wesbrook,new GBA taken from spreadsheet,589-2;589-1,HSGN,22373,1,,,The Laureates,Laureates,Laureates 1,,,5638 Birney Avenue,Vancouver,BC,V6S 0H8
AMBS,AD-222,Academic,,539,ADMIN,211,0,,,Ambulance Station,Ambulance,,,,2333 Wesbrook Mall,Vancouver,BC,V6T 1Z3
CRSW,AD-37,Wesbrook,new GBA taken from spreadsheet,605;605-4;605-1;605-5;605-6;605-2;605-3;605-7,HSGN,4433,0,,,Crescent West,Crescent West,,,,5879 Gray Avenue,Vancouver,BC,V6S 0A9
STAH,AD-275,Chancellor,new GBA taken from spreadsheet,817-2;817-3;817-1;817-4,HSGN,6774,1,,,St. Andrew's Hall,St. Andrew's Hall,St. Andrew's Residence,,,6040 Iona Drive,Vancouver,BC,V6T 2E8
MSL,AD-118,Academic,,083;081-1,ACA,8477,0,,,Michael Smith Laboratories,Michael Smith Labs,,,,2185 East Mall,Vancouver,BC,V6T 1Z4
WMAX,AD-290,Academic,,863-1,ACA,1962,0,,,West Mall Annex,West Mall Annex,,,,1933 West Mall,Vancouver,BC,V6T 1Z2
TRMH,AD-18,East Campus,,534,HSGN,2202,0,,,TRIUMF House,TRIUMF House,TRIUMF Visitor's Residence,,,5835 Thunderbird Boulevard,Vancouver,BC,V6T 2L6
MBOL,AD-240,Academic,,614,ACA,1318,0,,,Mary Bollert Hall,Bollert Hall,,,,6253 NW Marine Drive,Vancouver,BC,V6T 1Z1
LASR,AD-101,Academic,,028,ACA,4572,0,,,Frederic Lasserre Building,Lasserre,,,,6333 Memorial Road,Vancouver,BC,V6T 1Z2
WSBT,AD-32,Wesbrook,new GBA taken from spreadsheet,594,HSGN,12858,1,,REAP Silver,The Wesbrook,The Wesbrook,Wesbrook Lot 1,,,5838 Berton Avenue,Vancouver,BC,V6S 0A5
LARK,AD-27,Wesbrook,new GBA taken from spreadsheet,586,HSGN,4913,0,,REAP Silver,Larkspur House,Larkspur House,Faculty Staff Housing Building F,,,3428 Wesbrook Mall,Vancouver,BC,V6S 0G9
CBH,AD-198,Academic,Add GRP_ID,465,MEDI,14395,0,,,Djavad Mowafaghian Centre for Brain Health (CBH),Centre for Brain Health,,<Null>,CBH,2215 Wesbrook Mall,Vancouver,BC,V6T 1Z3
BIRC,AD-195,Academic,,461,MEDI,4530,0,,,Biomedical Research Centre,Biomedical,Biomedical Building,<Null>,,2222 Health Sciences Mall,Vancouver,BC,V6T 1Z3
PROD,AD-62,Wesbrook,new GBA taken from spreadsheet,711,HSGN,16295,0,,,Prodigy,Prodigy,Prodigy 1,,,6033 Gray Avenue,Vancouver,BC,V6S 0G3
ENSC,AD-158,Academic,,310,ACA,953,0,,LEED Gold,Engineering Student Centre,ESC,Engineering Undergraduate Society,Cheese,EUS,2335 Engineering Road,Vancouver,BC,V6T 1Z4
ORCH,AD-24,Academic,GBA from OSIS,557,ACA/RES,39838,1,,LEED Gold,Orchard Commons,Orchard Commons,,,,6363 Agronomy Road,Vancouver,BC,V6T 1Z4
ULTM,AD-60,Wesbrook,new GBA taken from spreadsheet,706,HSGN,5109,0,,REAP Gold,Ultima,Ultima,,,,3479 Wesbrook Mall,Vancouver,BC,V6S 0B7
GMGB,AD-227,Academic,,569,ADMIN,3231,0,,,Gerald McGavin Building,McGavin,,,,2386 East Mall,Vancouver,BC,V6T 1Z3
WPRO,AD-277,Wesbrook,GBA from https://www.wesbrookproperties.com/office-retail-leasing/,690,OTHER,1672,0,,,Wesbrook Professional Centre,Wesbrook Professional Centre,,,,3313 Shrum Lane,Vancouver,BC,V6S 0C8
PACC,AD-58,Wesbrook,new GBA taken from spreadsheet,699,HSGN,7821,0,,REAP Gold,Pacific,Pacific,,,,5928 Birney Avenue,Vancouver,BC,V6S 0B5
STMD,AD-516,Chancellor,new GBA taken from spreadsheet,827-8;827-7;827-6;827-5,HSGN,1728,1,,,St Mark's Duplexes,St Mark's Duplexes,,,,5938 Chancellor Boulevard,Vancouver,BC,V6T 0A1
WSTR,AD-529,Hawthorn,new GBA taken from spreadsheet,616;616-1;616-2;616-3;616-4;616-5;616-6;616-7,HSGN,5258,0,,,Westchester,Westchester,,,,2598 West Mall,Vancouver,BC,V6T 2J9
CLCK,AD-133,Academic,,182,ADMIN,45,0,,,Ladner Clock Tower,Clock Tower,,,,1956 Main Mall,Vancouver,BC,V6T 1Z1
SPRT,AD-26,Wesbrook,new GBA taken from spreadsheet,584,HSGN,5261,0,,REAP Gold,Spirit,Spirit,,,,3478 Wesbrook Mall,Vancouver,BC,V6S 0B6
PARW,AD-301,Academic,GBA from OSIS,900,PARK,34775,0,,,West Parkade,West Parkade,,,,2140 Lower Mall,Vancouver,BC,V6T 1Z4
PSAB,AD-285,Academic,,852,ADMIN,2935,0,,,Public Safety Building,Public Safety Building,Police and Fire Department,<Null>,RCMP,2992 Wesbrook Mall,Vancouver,BC,V6T 2B7
THUN,AD-295,Academic,,868;868-1,REC,25227,0,,,Doug Mitchell Thunderbird Sports Centre,Doug Mitchell Centre,Thunderbird Sports Centre,,,2555 Wesbrook Mall,Vancouver,BC,V6T 1Z3
COMP,AD-126,Academic,,137,ADMIN,185,0,,,In-Vessel Composting Facility,Composting Facility,,,,6035 Nurseries Road,Vancouver,BC,V6T 1W5
KEEN,AD-28,Wesbrook,new GBA taken from spreadsheet,587,HSGN,7990,0,,REAP Bronze,Keenleyside,Keenleyside,,,,5788 Birney Avenue,Vancouver,BC,V6S 0A2
NOBL,AD-66,Wesbrook,new GBA taken from spreadsheet,717,HSGN,9456,0,,REAP Gold,Nobel House,Nobel House,,,,3655 Wesbrook Mall,Vancouver,BC,V6S 0G6
ACDY,AD-33,Wesbrook,new GBA taken from spreadsheet,596,HSGN,14159,1,,,Academy,Academy,,,,5728 Berton Avenue,Vancouver,BC,V6S 0E5
TELS,AD-254,Wesbrook,,678,ADMIN,58,0,,,,,,,,,,,
SAGE,AD-276,Wesbrook,new GBA taken from spreadsheet,595,HSGN,12857,1,,REAP Silver,Sage,Sage,,,,5782 Berton Avenue,Vancouver,BC,V6S 0C1
MEWS,AD-49,Wesbrook,new GBA taken from spreadsheet,689,HSGN,14006,0,,REAP Gold,The Mews,The Mews,,,,3333 Wesbrook Mall,Vancouver,BC,V6S 0E3
WCOM,AD-57,Wesbrook,,697,ADMIN,3111,0,,LEED Gold,Wesbrook Community Centre,Wesbrook Community Centre,,,,3335 Webber Lane,Vancouver,BC,V6S 0H3
YUYU,AD-56,Wesbrook,new GBA taken from spreadsheet,695,HSGN,9755,0,,REAP Gold,Yu,Yu,,,,5955 Birney Avenue,Vancouver,BC,V6S 0C5
COST,AD-280,Chancellor,new GBA taken from spreadsheet,831-5;831-4;831-3;831-2;831-1;832-2;832-3;832-1,HSGN,17286,1,,,Coast,Coast,,,,6063 Iona Drive,Vancouver,BC,V6T 0B1
OBCC,AD-43,Hawthorn,,627,ADMIN,1118,0,,,Old Barn Community Centre,Old Barn,,,,6308 Thunderbird Boulevard,Vancouver,BC,V6T 1Z4
CASC,AD-2,Hawthorn,new GBA taken from spreadsheet,153,HSGN,4329,0,,,Cascara House,Cascara House,Faculty Staff Housing Building B,,,6385 Hawthorn Lane,Vancouver,BC,V6T 0C1
BALM,AD-16,Hampton,new GBA taken from spreadsheet,508,HSGN,10636,0,,,The Balmoral,Balmoral,Hampton Place Lot 9,,,5615 Hampton Place,Vancouver,BC,V6T 2H1
CHAT,AD-11,Hampton,new GBA taken from spreadsheet,504,HSGN,11069,0,,,The Chatham,The Chatham,Hampton Place Lot 5 ,,,5775 Hampton Place,Vancouver,BC,V6T 2G6
BRIS,AD-12,Hampton,new GBA taken from spreadsheet,505,HSGN,12635,0,,,The Bristol,The Bristol,Hampton Place Lot 6 ,,,5735 Hampton Place,Vancouver,BC,V6T 2G8
REFL,AD-41,Hawthorn,new GBA taken from spreadsheet,623,HSGN,8257,0,,,Reflections,Reflections,,,,6279 Eagles Drive,Vancouver,BC,V6T 2K7
ARGW,AD-80,Chancellor,new GBA taken from spreadsheet,837,HSGN,5424,0,,,Argyll House West,Argyll House West,,,,6018 Iona Drive,Vancouver,BC,V6T 2L1
GARD,AD-38,Hawthorn,new GBA taken from spreadsheet,617,HSGN,7550,0,,,Gardenia House,Gardenia House,Faculty Staff Housing Building D,,,6309 Larkin Drive,Vancouver,BC,V6T 0C2
HAWT,AD-418,Hawthorn,new GBA taken from spreadsheet,618,HSGN,1728,0,,,Hawthorn Green,Hawthorn Green,,,,6318 Hawthorn Lane,Vancouver,BC,V6T 2J6
CORS,AD-321,Chancellor,new GBA taken from spreadsheet,839,HSGN,10805,0,,,Corus,Corus,,,,5989  Walter Gage Road,Vancouver,BC,V6T 0A8
SITK,AD-20,East Campus,new GBA taken from spreadsheet,550,HSGN,7646,0,,,Sitka,Sitka,,,,5868 Agronomy Road,Vancouver,BC,V6T 0B5
LGCY,AD-45,Hawthorn,new GBA taken from spreadsheet,630,HSGN,7435,0,,REAP Silver,Legacy,Legacy,,,,6333 Larkin Drive,Vancouver,BC,V6T 0A7
ARGE,AD-74,Chancellor,new GBA taken from spreadsheet,810,HSGN,5403,0,,,Argyll House East,Argyll House East,,,,5958 Iona Drive,Vancouver,BC,V6T 2L2
IONA,AD-281,Chancellor,,836,ACA,8639,0,,,Iona Building,Iona Building,,,,6000 Iona Drive,Vancouver,BC,V6T 1L4
WHAM,AD-8,Hampton,new GBA taken from spreadsheet,501;501-1;501-2;501-3;501-4;501-5;501-6;501-7;501-8;501-9;501-10;501-11;501-12,HSGN,12211,0,,,West Hampstead,West Hampstead,Hampton Place Lot 2,,,5760 Hampton Place,Vancouver,BC,V6T 2G1
THAC,AD-9,Hampton,new GBA taken from spreadsheet,502;502-1;502-2;502-3;502-4;502-5;502-6;502-7;502-8;502-9;502-10;502-11;502-12;502-13;502-14;502-15;502-16;502-17,HSGN,13794,0,,,Thames Court,Thames Court,Hampton Place Lot 3,,,5880 Hampton Place,Vancouver,BC,V6T 2E9
FOLI,AD-77,Chancellor,new GBA taken from spreadsheet,826;825;827-4;827-1;827-2;827-3,HSGN,6200,1,,,Folio,Folio,,,,5955 Iona Drive,Vancouver,BC,V6T 2L4
CHAH,AD-322,Chancellor,new GBA taken from spreadsheet,824;823,HSGN,9472,1,,,Chancellor Hall,Chancellor Hall,,,,5989  Iona Drive,Vancouver,BC,V6T 2L7
NINE,AD-489,Hawthorn,new GBA taken from spreadsheet,628,HSGN,2030,0,,,Nine on the Park,Nine on the Park,,,,6282 Eagles Drive,Vancouver,BC,V6T 0A3
ESSE,AD-73,Chancellor,new GBA taken from spreadsheet,808,HSGN,2565,0,,,Esse,Esse,,,,1863 Wesbrook Mall,Vancouver,BC,V6T 2J7
PEMB,AD-17,Hampton,new GBA taken from spreadsheet,509,HSGN,5733,0,,,The Pemberley,The Pemberley,Hampton Place Lot 10 ,,,5605 Hampton Place,Vancouver,BC,V6T 2H2
AXIS,AD-76,Chancellor,new GBA taken from spreadsheet,819,HSGN,12839,0,,REAP Gold,Axis ,Axis ,,,<Null>,6090 Iona Drive,Vancouver,BC,V6T 0B6
