SUBBLDG_ID,BLDG_ID,ADD_ID,NAME,NOTES,CLASS_CODE,REC_IDS,BLDG_USE,GBA,BLDG_TYPE,GREEN_STATUS,PLACENAME,PLACENAME2,PLACENAME3,PLACENAME4,ABBREVIATEDPLACENAME,BUILDING_SHORTCODE,FULLADDRESS,MUNINAME,PROVINCE,POSTALCODE
TAPS02,TAPS,AD-235,Tapestry South,,,593-2,,8928,Lowrise,REAP Silver,Tapestry North,North,Tapestry,,,,3382 Wesbrook Mall,Vancouver,BC,V6S 0A7
BOTR03,BOTR,AD-113,Botanical Garden Lunchroom,,,078,,52,Section,,Botanical Garden Lunchroom,Lunchroom,Botanical Garden Workshop,,,,3929 Wesbrook Mall,Vancouver,BC,V6T 1W5
BOTR01,BOTR,AD-113,Botanical Garden Greenhouses,,,077-1,,636,Section,,Botanical Garden Greenhouse,Greenhouse,Botanical Garden Workshop,Nursery,,,3929 Wesbrook Mall,Vancouver,BC,V6T 1W5
BOTR05,BOTR,AD-113,Botanical Garden Shadehouse,,,077-2,,502,Section,,Botanical Garden Shadehouse,Shadehouse,Botanical Garden Workshop,Nursery,,,3929 Wesbrook Mall,Vancouver,BC,V6T 1W5
GRAT03,GRAT,AD-47,Granite Terrace - Moveator,,,686,,566,Section,REAP Gold,Moveator,Moveator,Granite Terrace,Moveator,,,5940 Berton Avenue,Vancouver,BC,V6S 0B3
VANR02,VANR,AD-19,Vanier - Aldyen Hamber House,,,896-4,,2114,Lowrise,,Aldyen Hamber House,Aldyen Hamber,Place Vanier Residence  ,Hamber,,,1935 Lower Mall,Vancouver,BC,V6T 1X1
TFS01,TFS,AD-252,Totem Field Studios,,TFS,668;668-1,ARTS,1578,Section,,,,,,,,,,,
VANR07,VANR,AD-19,Vanier - Cariboo House,,,545-1,,2172,Lowrise,,Cariboo House,Cariboo,Place Vanier Residence  ,Cariboo,,,1935 Lower Mall,Vancouver,BC,V6T 1X1
THUR09,THUR,AD-70,Thunderbird Res C1,,,784,,4057,Lowrise,,Thunderbird C1,C1,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR08,THUR,AD-70,Thunderbird Res B4,,,783-1,,1104,Lowrise,,Thunderbird B4,B4,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR10,THUR,AD-70,Thunderbird Res C2,,,784-1,,1558,Lowrise,,Thunderbird C2,C2,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR07,THUR,AD-70,Thunderbird Res B3,,,782-1,,1098,Lowrise,,Thunderbird B3,B3,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR06,THUR,AD-70,Thunderbird Res B2,Dif shape on CAD,,782,,4019,Lowrise,,Thunderbird B2,B2,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR05,THUR,AD-70,Thunderbird Res B1,,,783,,4059,Lowrise,,Thunderbird B1,B1,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR04,THUR,AD-70,Thunderbird Res A4,,,780-1,,1104,Lowrise,,Thunderbird A4,A4,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR03,THUR,AD-70,Thunderbird Res A3,,,781-1,,1100,Lowrise,,Thunderbird A3,A3,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
THUR02,THUR,AD-70,Thunderbird Res A2,,,781,,4112,Lowrise,,Thunderbird A2,A2,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
SAGE02,SAGE,AD-276,Sage - highrise,,,595,,20839,Highrise,REAP Silver,,,,,,,,,,
THUR01,THUR,AD-70,Thunderbird Res A1,,,780,,19997,Lowrise,,Thunderbird A1,A1,Thunderbird Residence,,,,6335 Thunderbird Crescent,Vancouver,BC,V6T 2G9
WSBT02,WSBT,AD-32,The Wesbrook - townhouses,,,594,,,Townhouses,REAP Silver,,,,,,,,,,
WSBT01,WSBT,AD-32,The Wesbrook - highrise,,,594,,,Highrise,REAP Silver,,,,,,,,,,
SAGE01,SAGE,AD-276,Sage - townhouses,,,595,,20839,Townhouses,REAP Silver,,,,,,,,,,
LAUR01,LAUR,AD-233,The Laureates - highrise,,,589-2;589-1,,0,Highrise,,,,,,,,,,,
STMD01,STMD,AD-523,St. Mark's Duplex 5,Remove 'duplex' from the short names,,827-5,,,Townhouses,,,,,,,,,,,
STMD02,STMD,AD-521,St. Mark's Duplex 6,,,827-6,,,Townhouses,,,,,,,,,,,
TENN01,TENN,AD-184,Tennis Centre,,,432;433,,10661,Section,,,,Tennis Centre,,,,6160 Thunderbird Boulevard,Vancouver,BC,V6T 1Z3
ENSF06,ENSF,AD-127,Solvent Recovery Lab,,,138,,39,Section,,Solvent Recovery Lab,Solvent Recovery Lab,Environmental Services Facility,,,,6025 Nurseries Road,Vancouver,BC,V6T 1W5
ENSF07,ENSF,AD-127,Solvent Storage Area,,,141,,104,Section,,Solvent Storage Area,Solvent Storage Area,Environmental Services Facility,,,,6025 Nurseries Road,Vancouver,BC,V6T 1W5
STMD03,STMD,AD-519,St. Mark's Duplex 7,,,827-7,,,Townhouses,,,,,,,,,,,
